feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X94c5138a54d79f7a0ae39ee66f53ecb4	Env.feature..abbreviation.	SRF	-0.0167495436264662	0.00502834611419987	321	7	0.000966806156024526	0.196261649672979
d13e3ed8a4680082198d81067da50170	Env.feature..abbreviation.	SRF	-0.0676544675042811	0.0228261527690454	321	58	0.00326632956136684	0.331532450478735
X5bb1f8c90c2556e7d638a33006a7c717	Env.feature..abbreviation.	SRF	-0.05476142680871	0.0476988439872569	321	60	0.251801476805897	0.534842453878643
X1967cb71e718c3a1a40322d82c55eaec	Env.feature..abbreviation.	SRF	-0.0525450898254514	0.0247930339306531	321	36	0.034833174773715	0.534842453878643
X95be89ad8768fb818d6ca91781e88270	Env.feature..abbreviation.	SRF	0.0456461583946507	0.0198206386295617	321	39	0.0219241195707212	0.534842453878643
X901f1c556706a660c4b37d1b5f11b265	Env.feature..abbreviation.	SRF	-0.0738312466788996	0.0357927432466655	321	96	0.0399461290432014	0.534842453878643
e96c1b866887539f13cc94fa2d9f41e7	Env.feature..abbreviation.	SRF	0.0745726151478376	0.0408596218937831	321	183	0.0689220010257995	0.534842453878643
X08282972630627e934a91345ca83d411	Env.feature..abbreviation.	SRF	0.0483060753282403	0.0215040643263056	321	63	0.0253641803233602	0.534842453878643
X0bc0f191bc2dd86e43c5e3a54e48a61e	Env.feature..abbreviation.	SRF	0.0196779039137867	0.0234003093871844	321	69	0.401019871299029	0.534842453878643
bdebf9f2f1b823d6f8b4f709241a412f	Env.feature..abbreviation.	SRF	-0.0132679280293212	0.0139346622052786	321	32	0.34174035660835	0.534842453878643
df3e8a8193100e8a275159e85bc2d5ea	Env.feature..abbreviation.	SRF	0.0216148109238791	0.0132144100485708	321	19	0.10288863878841	0.534842453878643
fc5c45eb6bfe5e31b7cdfacfefe893b2	Env.feature..abbreviation.	SRF	-0.00400451709204189	0.00433095113160326	321	5	0.355858536216372	0.534842453878643
X2a83d4e4b9e6ef3b4149227718730093	Env.feature..abbreviation.	SRF	0.0144713838086197	0.00947592943781177	321	7	0.127708874760657	0.534842453878643
aef2ebc49dc032222c12882da98dc177	Env.feature..abbreviation.	SRF	0.0082784821876082	0.00674447890100007	321	9	0.220560102245697	0.534842453878643
